en;current;new
hearing;a audição;a audição
neck;o pescoço;o pescoço
shoulder;o ombro;o ombro
chest;o peito;o peito
back (body part);as costas;as costas
arm;o braço;o braço
hand;a mão;a mão
finger;o dedo;o dedo
thumb;o polegar;o polegar
nail (body part);a unha;a unha
heart;o coração;o coração
breath;a respiração;a respiração
stomach;o estômago;o estômago
leg;a perna;a perna
knee;o joelho;o joelho
foot;o pé;o pé
toe;o dedo do pé;o dedo do pé
body;o corpo;o corpo
skin;a pele;a pele
muscle;o músculo;o músculo
bone;o osso;o osso
flesh;a carne;a carne
blood;o sangue;o sangue
sense;o sentido;o sentido
sex;o sexo;o sexo
birth;o nascimento;o nascimento
death;a morte;a morte
wound;a ferida;a ferida
tail;a cauda;a cauda
wing;a asa;a asa
care;o cuidado;o cuidado
cough;a tosse;a tosse
diet;a dieta;a dieta
disease;a doença;a doença
doctor;o médico;o médico
drug (medicine);o medicamento;o medicamento
exercise;o exercício;o exercício
gym;o ginásio;o ginásio
health;a saúde;a saúde
injury;a lesão;a lesão
medicine;a medicina;a medicina
nurse;o enfermeiro;o enfermeiro
pain;a dor;a dor
patient;o paciente;o paciente
poison;o veneno;o veneno
aunt;a tia;a tia
brother;o irmão;o irmão
cousin;o primo;o primo
dad;o pai;o pai
daughter;a filha;a filha
grandfather;o avô;o avô
grandmother;a avó;a avó
husband;o marido;o marido
mother;a mãe;a mãe
parent;o progenitor;o progenitor
sister;a irmã;a irmã
son;o filho;o filho
uncle;o tio;o tio
wife;a esposa;a esposa
adult;o adulto;o adulto
baby;o bebé;o bebé
boy;o rapaz;o rapaz
child;a criança;a criança
girl;a rapariga;a rapariga
man;o homem;o homem
people;as pessoas;as pessoas
person;a pessoa;a pessoa
woman;a mulher;a mulher
boyfriend;o namorado;o namorado
girlfriend;a namorada;a namorada
marriage;o casamento;o casamento
neighbor;o vizinho;o vizinho
partner;o parceiro;o parceiro
relationship;a relação;a relação
cat;o gato;o gato
cow;a vaca;a vaca
dog;o cão;o cão
horse;o cavalo;o cavalo
mouse;o rato;o rato
pig;o porco;o porco
sheep;a ovelha;a ovelha
bee;a abelha;a abelha
bird;o pássaro;o pássaro
fish;o peixe;o peixe
snake;a serpente;a serpente
feather;a pena;a pena
flower;a flor;a flor
grass;a relva;a relva
leaf;a folha;a folha
plant;a planta;a planta
tree;a árvore;a árvore
hill;a colina;a colina
lake;o lago;o lago
land;a terra;a terra
river;o rio;o rio
sea;o mar;o mar
air;o ar;o ar
cloud;a nuvem;a nuvem
fire;o fogo;o fogo
ice;o gelo;o gelo
rain;a chuva;a chuva
sky;o céu;o céu
snow;a neve;a neve
wind;o vento;o vento
Earth;a Terra;a Terra
space;o espaço;o espaço
sun;o sol;o sol
bread;o pão;o pão
rice;o arroz;o arroz
fruit;a fruta;a fruta
apple;a maçã;a maçã
banana;a banana;a banana
vegetable;o legume;o legume
potato;a batata;a batata
tomato;o tomate;o tomate
onion;a cebola;a cebola
chicken;o frango;o frango
egg;o ovo;o ovo
milk;o leite;o leite
cheese;o queijo;o queijo
butter;a manteiga;a manteiga
salt;o sal;o sal
sugar;o açúcar;o açúcar
water;a água;a água
tea;o chá;o chá
coffee;o café;o café
juice;o sumo;o sumo
oil;o óleo;o óleo
food;a comida;a comida
meal;a refeição;a refeição
breakfast;o pequeno-almoço;o pequeno-almoço
lunch;o almoço;o almoço
dinner;o jantar;o jantar
piece;a peça;a peça
side;o lado;o lado
size;o tamanho;o tamanho
shape;a forma;a forma
line;a linha;a linha
age;a idade;a idade
this;este;este
that;esse;esse
these;estes;estes
those;esses;esses
as;como;como
all;todos;todos
any;qualquer;qualquer
some;alguns;alguns
every;cada;cada
many;muitos;muitos
few;poucos;poucos
more;mais;mais
much;muito;muito
both;ambos;ambos
other;outro;outro
also;também;também
just;apenas;apenas
almost;quase;quase
really;realmente;realmente
maybe;talvez;talvez
probably;provavelmente;provavelmente
especially;especialmente;especialmente
exactly;exatamente;exatamente
together;juntos;juntos
enough;suficiente;suficiente
quite;bastante;bastante
gold;o ouro;o ouro
iron;o ferro;o ferro
silver;a prata;a prata
plastic;o plástico;o plástico
wood;a madeira;a madeira
stone;a pedra;a pedra
metal;o metal;o metal
cloth;o tecido;o tecido
leather;o couro;o couro
glass (material);o vidro;o vidro
to compare;comparar;comparar
comparison;a comparação;a comparação
reason;a razão;a razão
what;o que;o que
who;quem;quem
which;qual;qual
why;porquê;porquê
where;onde;onde
whose;de quem;de quem
to have;ter;ter
to do;fazer;fazer
to can;poder;poder
to go;ir;ir
to come;vir;vir
to get (something);obter;obter
to take;tomar;tomar
to see;ver;ver
to give;dar;dar
to eat;comer;comer
to drink;beber;beber
to run;correr;correr
to walk;caminhar;caminhar
to sit;sentar-se;sentar-se
to stand;estar de pé;estar de pé
to sleep;dormir;dormir
to wake;acordar;acordar
to look;olhar;olhar
to find;encontrar;encontrar
to put;pôr;pôr
to want;querer;querer
to need;precisar;precisar
to like;gostar;gostar
to think;pensar;pensar
to help;ajudar;ajudar
to wait;esperar;esperar
to open;abrir;abrir
to close;fechar;fechar
to use;usar;usar
to live;viver;viver
to stay;ficar;ficar
to leave;partir;partir
to arrive;chegar;chegar
to try;tentar;tentar
to happen;acontecer;acontecer
to show;mostrar;mostrar
to turn;virar;virar
to move;mover;mover
to bring;trazer;trazer
to feel;sentir;sentir
to touch;tocar;tocar
to listen;ouvir;ouvir
to read;ler;ler
to write;escrever;escrever
to wash;lavar;lavar
to cook;cozinhar;cozinhar
to cut;cortar;cortar
to carry;carregar;carregar
to wear (clothing);vestir;vestir
to break;quebrar;quebrar
to fix;consertar;consertar
to build;construir;construir
to stop;parar;parar
